dt,bat_v,dht_t,dht_h,ref_v,out_v,therm_v,in_v
20251231T151415,4.223, 23.0, 38.0,2.454,2.418,2.619,2.432
20251231T151416,4.082, 22.0, 37.0,2.454,2.413,2.619,2.418
20251231T151418,4.188, 22.0, 37.0,2.498,2.495,2.715,2.495
20251231T151419,4.100, 22.0, 38.0,2.454,2.408,2.619,2.418
20251231T151415,5.886, 22.0, 38.0,2.488,2.476,2.680,2.476
20251231T151417,5.340, 22.0, 39.0,2.483,2.471,2.675,2.471
20251231T151418,5.402, 22.0, 39.0,2.498,2.495,2.710,2.495
20251231T151419,5.481, 22.0, 39.0,2.483,2.466,2.675,2.471
20251231T151420,5.243, 22.0, 39.0,2.498,2.495,2.710,2.495
20251231T151421,5.481, 22.0, 39.0,2.483,2.471,2.670,2.471
20251231T151422,5.340, 22.0, 39.0,2.498,2.495,2.710,2.495
20251231T151423,5.340, 22.0, 39.0,2.483,2.471,2.675,2.471
20251231T151424,5.349, 22.0, 39.0,2.498,2.500,2.710,2.495
20251231T151425,5.481, 23.0, 39.0,2.483,2.466,2.675,2.471
20251231T151427,5.375, 23.0, 39.0,2.498,2.500,2.710,2.495
20251231T151428,5.340, 23.0, 39.0,2.483,2.466,2.670,2.471
20251231T151429,5.279, 23.0, 39.0,2.498,2.500,2.710,2.495
20251231T151430,5.340, 23.0, 39.0,2.483,2.471,2.670,2.466
20251231T151431,5.296, 23.0, 39.0,2.498,2.500,2.710,2.495
20251231T151432,5.340, 23.0, 39.0,2.483,2.466,2.675,2.471
20251231T151433,5.402, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151434,5.481, 23.0, 39.0,2.483,2.471,2.670,2.471
20251231T151435,5.340, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151437,5.551, 23.0, 39.0,2.483,2.471,2.665,2.471
20251231T151438,5.296, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151439,5.340, 23.0, 39.0,2.483,2.471,2.670,2.466
20251231T151440,5.393, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151441,5.551, 23.0, 39.0,2.483,2.466,2.670,2.471
20251231T151442,5.375, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151443,5.481, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151444,5.287, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151445,5.340, 23.0, 39.0,2.483,2.471,2.665,2.471
20251231T151447,5.270, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151448,5.340, 23.0, 39.0,2.483,2.471,2.670,2.466
20251231T151449,5.287, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151450,5.622, 23.0, 39.0,2.483,2.471,2.665,2.466
20251231T151451,5.279, 23.0, 39.0,2.498,2.500,2.710,2.495
20251231T151452,5.340, 23.0, 39.0,2.483,2.466,2.670,2.466
20251231T151453,5.287, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151454,5.481, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151455,5.323, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151457,5.340, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151458,5.252, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151459,5.340, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151500,5.375, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151501,5.481, 23.0, 39.0,2.483,2.466,2.670,2.471
20251231T151502,5.296, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151503,5.340, 23.0, 39.0,2.483,2.466,2.670,2.471
20251231T151504,5.305, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151505,5.340, 23.0, 39.0,2.478,2.461,2.665,2.466
20251231T151507,5.314, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151508,5.481, 23.0, 39.0,2.483,2.466,2.670,2.471
20251231T151509,5.279, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151510,5.340, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151511,5.314, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151512,5.481, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151513,5.393, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151514,5.481, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151515,5.375, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151516,5.340, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151518,5.305, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151519,5.481, 23.0, 39.0,2.478,2.461,2.665,2.466
20251231T151520,5.375, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151521,5.622, 23.0, 39.0,2.478,2.461,2.660,2.466
20251231T151522,5.305, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151523,5.340, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151524,5.270, 23.0, 39.0,2.498,2.495,2.705,2.495
20251231T151525,5.481, 23.0, 39.0,2.483,2.466,2.665,2.471
20251231T151526,5.349, 23.0, 39.0,2.498,2.495,2.705,2.500
20251231T151528,5.481, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151529,5.358, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151530,5.340, 23.0, 39.0,2.478,2.461,2.660,2.466
20251231T151531,5.287, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151532,5.551, 23.0, 39.0,2.478,2.461,2.655,2.461
20251231T151533,5.296, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151534,5.481, 23.0, 40.0,2.478,2.461,2.660,2.461
20251231T151535,5.358, 23.0, 40.0,2.498,2.495,2.710,2.495
20251231T151536,5.481, 23.0, 40.0,2.478,2.461,2.660,2.461
20251231T151538,5.340, 23.0, 40.0,2.498,2.495,2.705,2.495
20251231T151539,5.340, 23.0, 40.0,2.478,2.461,2.660,2.466
20251231T151540,5.296, 23.0, 40.0,2.498,2.500,2.705,2.495
20251231T151541,5.340, 23.0, 40.0,2.483,2.466,2.665,2.466
20251231T151542,5.305, 23.0, 40.0,2.498,2.495,2.705,2.495
20251231T151543,5.622, 23.0, 40.0,2.478,2.461,2.660,2.466
20251231T151544,5.358, 23.0, 40.0,2.498,2.495,2.710,2.495
20251231T151545,5.340, 23.0, 40.0,2.478,2.461,2.660,2.461
20251231T151546,5.331, 23.0, 40.0,2.498,2.495,2.710,2.500
20251231T151548,5.340, 23.0, 40.0,2.483,2.471,2.665,2.466
20251231T151549,5.296, 23.0, 40.0,2.498,2.495,2.705,2.500
20251231T151550,5.551, 23.0, 39.0,2.483,2.466,2.665,2.471
20251231T151551,5.340, 23.0, 39.0,2.498,2.500,2.705,2.500
20251231T151552,5.481, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151553,5.270, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151554,5.340, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151555,5.314, 23.0, 39.0,2.498,2.495,2.705,2.500
20251231T151556,5.481, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151558,5.428, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151559,5.340, 23.0, 39.0,2.478,2.461,2.665,2.466
20251231T151600,5.384, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151601,5.481, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151602,5.428, 23.0, 39.0,2.498,2.495,2.710,2.500
20251231T151603,5.481, 23.0, 39.0,2.478,2.461,2.665,2.461
20251231T151604,5.314, 23.0, 39.0,2.498,2.495,2.705,2.495
20251231T151605,5.481, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151606,5.305, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151608,5.340, 23.0, 39.0,2.478,2.461,2.655,2.461
20251231T151609,5.340, 23.0, 39.0,2.498,2.500,2.705,2.500
20251231T151610,5.340, 23.0, 39.0,2.478,2.461,2.660,2.466
20251231T151611,5.270, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151612,5.551, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151613,5.375, 23.0, 39.0,2.498,2.495,2.705,2.500
20251231T151614,5.340, 23.0, 39.0,2.478,2.466,2.655,2.461
20251231T151615,5.437, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151616,5.481, 23.0, 39.0,2.478,2.461,2.665,2.461
20251231T151617,5.305, 23.0, 39.0,2.498,2.495,2.705,2.500
20251231T151619,5.622, 23.0, 39.0,2.478,2.461,2.660,2.466
20251231T151620,5.314, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151621,5.481, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151622,5.314, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151623,5.481, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151624,5.428, 23.0, 39.0,2.498,2.495,2.705,2.495
20251231T151625,5.481, 23.0, 39.0,2.478,2.456,2.660,2.466
20251231T151626,5.349, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151627,5.622, 23.0, 39.0,2.483,2.466,2.660,2.466
20251231T151629,5.270, 23.0, 39.0,2.498,2.495,2.705,2.495
20251231T151630,5.622, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151631,5.323, 23.0, 39.0,2.498,2.495,2.705,2.495
20251231T151632,5.481, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151633,5.340, 23.0, 39.0,2.498,2.495,2.705,2.495
20251231T151634,5.481, 23.0, 39.0,2.483,2.466,2.670,2.466
20251231T151635,5.446, 23.0, 39.0,2.498,2.495,2.705,2.495
20251231T151636,5.481, 23.0, 39.0,2.483,2.471,2.665,2.466
20251231T151637,5.358, 23.0, 39.0,2.498,2.495,2.705,2.495
20251231T151639,5.481, 23.0, 40.0,2.478,2.461,2.665,2.461
20251231T151640,5.358, 23.0, 40.0,2.498,2.495,2.705,2.495
20251231T151641,5.340, 23.0, 39.0,2.478,2.466,2.660,2.456
20251231T151642,5.340, 23.0, 39.0,2.498,2.495,2.700,2.495
20251231T151643,5.340, 23.0, 40.0,2.478,2.461,2.655,2.461
20251231T151644,5.349, 23.0, 40.0,2.498,2.495,2.705,2.500
20251231T151645,5.481, 23.0, 40.0,2.483,2.466,2.665,2.466
20251231T151646,5.296, 23.0, 40.0,2.498,2.500,2.705,2.495
20251231T151647,5.551, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151649,5.349, 23.0, 39.0,2.498,2.495,2.705,2.495
20251231T151650,5.340, 23.0, 40.0,2.478,2.461,2.655,2.461
20251231T151651,5.340, 23.0, 40.0,2.498,2.500,2.705,2.500
20251231T151652,5.622, 23.0, 39.0,2.483,2.471,2.665,2.466
20251231T151653,5.411, 23.0, 39.0,2.498,2.495,2.705,2.495
20251231T151654,5.340, 23.0, 39.0,2.478,2.461,2.665,2.461
20251231T151655,5.349, 23.0, 39.0,2.498,2.500,2.700,2.495
20251231T151656,5.622, 23.0, 39.0,2.483,2.466,2.665,2.466
20251231T151657,5.367, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151659,5.340, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151700,5.340, 23.0, 39.0,2.498,2.495,2.710,2.495
20251231T151701,5.481, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151702,5.384, 23.0, 39.0,2.498,2.495,2.710,2.500
20251231T151703,5.481, 23.0, 39.0,2.478,2.461,2.660,2.461
20251231T151704,5.287, 23.0, 39.0,2.498,2.495,2.705,2.500
20251231T151705,5.481, 23.0, 39.0,2.478,2.461,2.660,2.466
20251231T151706,5.349, 23.0, 39.0,2.498,2.495,2.710,2.500
20251231T151707,5.481, 23.0, 39.0,2.478,2.461,2.660,2.466
20251231T151709,5.323, 23.0, 39.0,2.498,2.495,2.710,2.500
20251231T151710,5.481, 23.0, 39.0,2.478,2.461,2.665,2.461
20251231T151711,5.314, 23.0, 39.0,2.498,2.495,2.710,2.500
20251231T151712,5.481, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151713,5.446, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151714,5.340, 23.0, 39.0,2.478,2.461,2.660,2.466
20251231T151715,5.384, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151716,5.340, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151717,5.384, 23.0, 39.0,2.498,2.500,2.705,2.500
20251231T151719,5.340, 23.0, 39.0,2.478,2.466,2.660,2.461
20251231T151720,5.349, 23.0, 39.0,2.498,2.500,2.710,2.490
20251231T151721,5.340, 23.0, 39.0,2.478,2.461,2.665,2.461
20251231T151722,5.367, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151723,5.481, 23.0, 39.0,2.478,2.461,2.665,2.461
20251231T151724,5.314, 23.0, 39.0,2.498,2.500,2.705,2.495
20251231T151725,5.481, 23.0, 40.0,2.478,2.466,2.660,2.461
20251231T151726,5.305, 23.0, 40.0,2.498,2.495,2.705,2.495
20251231T151727,5.340, 23.0, 40.0,2.478,2.461,2.660,2.461
20251231T151729,5.340, 23.0, 40.0,2.498,2.495,2.710,2.495
20251231T151730,5.340, 23.0, 40.0,2.478,2.461,2.660,2.461
20251231T151731,5.375, 23.0, 40.0,2.498,2.495,2.710,2.495
20251231T151732,5.340, 23.0, 40.0,2.478,2.461,2.660,2.461
20251231T151733,5.367, 23.0, 40.0,2.498,2.495,2.705,2.495
20251231T151734,5.551, 23.0, 40.0,2.527,2.554,2.752,2.554
20251231T151735,5.349, 23.0, 40.0,2.498,2.495,2.710,2.500
20251231T151736,5.340, 23.0, 40.0,2.507,2.520,2.721,2.520
20251231T151737,5.323, 23.0, 40.0,2.498,2.500,2.705,2.495
20251231T151738,5.481, 23.0, 40.0,2.507,2.520,2.716,2.520
20251231T151740,5.384, 23.0, 40.0,2.498,2.500,2.705,2.495
20251231T151741,5.622, 23.0, 41.0,2.512,2.529,2.721,2.524
20251231T151742,5.340, 23.0, 41.0,2.498,2.500,2.700,2.495
20251231T151743,5.340, 23.0, 41.0,2.493,2.490,2.680,2.490
20251231T151744,5.323, 23.0, 41.0,2.498,2.500,2.695,2.495
20251231T151745,5.340, 23.0, 41.0,2.488,2.480,2.670,2.480
20251231T151746,5.296, 23.0, 41.0,2.498,2.500,2.690,2.495
20251231T151747,5.481, 23.0, 42.0,2.493,2.485,2.671,2.485
20251231T151748,5.296, 23.0, 42.0,2.498,2.495,2.690,2.495
20251231T151750,5.551, 23.0, 42.0,2.493,2.490,2.671,2.490
20251231T151751,5.375, 23.0, 42.0,2.498,2.500,2.686,2.495
20251231T151752,5.481, 23.0, 42.0,2.493,2.490,2.666,2.490
20251231T151753,5.375, 23.0, 42.0,2.498,2.500,2.681,2.495
20251231T151754,5.481, 23.0, 43.0,2.493,2.490,2.661,2.485
20251231T151755,5.296, 23.0, 43.0,2.498,2.500,2.676,2.495
20251231T151756,5.622, 23.0, 42.0,2.493,2.485,2.656,2.485
20251231T151757,5.419, 23.0, 42.0,2.498,2.500,2.671,2.495
20251231T151758,5.481, 23.0, 41.0,2.488,2.480,2.646,2.480
20251231T151800,5.323, 23.0, 41.0,2.498,2.500,2.666,2.495
20251231T151801,5.481, 23.0, 42.0,2.488,2.476,2.641,2.480
20251231T151802,5.384, 23.0, 42.0,2.498,2.495,2.666,2.495
20251231T151803,5.340, 23.0, 42.0,2.488,2.480,2.636,2.476
20251231T151804,5.314, 23.0, 42.0,2.498,2.500,2.666,2.495
20251231T151805,5.622, 23.0, 44.0,2.488,2.480,2.636,2.480
20251231T151806,5.323, 23.0, 44.0,2.498,2.495,2.661,2.495
20251231T151807,5.551, 23.0, 44.0,2.488,2.476,2.636,2.476
20251231T151808,5.393, 23.0, 44.0,2.498,2.500,2.661,2.495
20251231T151810,5.481, 23.0, 44.0,2.483,2.471,2.626,2.471
20251231T151811,5.349, 23.0, 44.0,2.498,2.500,2.656,2.495
20251231T151812,5.551, 23.0, 44.0,2.483,2.471,2.621,2.471
20251231T151813,5.446, 23.0, 44.0,2.498,2.500,2.656,2.495
20251231T151814,5.551, 23.0, 45.0,2.483,2.471,2.616,2.471
20251231T151815,5.323, 23.0, 45.0,2.498,2.500,2.656,2.495
20251231T151816,5.340, 23.0, 44.0,2.478,2.461,2.611,2.461
20251231T151817,5.367, 23.0, 44.0,2.498,2.495,2.651,2.495
20251231T151818,5.481, 23.0, 44.0,2.478,2.461,2.606,2.461
20251231T151820,5.349, 23.0, 44.0,2.498,2.495,2.651,2.495
20251231T151821,5.622, 23.0, 39.0,2.478,2.461,2.606,2.461
20251231T151822,5.296, 23.0, 39.0,2.498,2.495,2.651,2.495
20251231T151823,5.481, 23.0, 33.0,2.493,2.490,2.636,2.490
20251231T151824,5.331, 23.0, 33.0,2.498,2.495,2.656,2.495
20251231T151825,5.622, 23.0, 30.0,2.483,2.471,2.621,2.466
20251231T151826,5.323, 23.0, 30.0,2.498,2.500,2.661,2.495
20251231T151827,5.481, 23.0, 29.0,2.478,2.461,2.616,2.461
20251231T151828,5.296, 23.0, 29.0,2.498,2.500,2.661,2.495
20251231T151830,5.551, 23.0, 27.0,2.478,2.461,2.621,2.461
20251231T151831,5.393, 23.0, 27.0,2.498,2.495,2.666,2.495
20251231T151832,5.340, 23.0, 24.0,2.478,2.461,2.626,2.461
20251231T151833,5.358, 23.0, 24.0,2.498,2.495,2.671,2.495
20251231T151834,5.481, 23.0, 23.0,2.478,2.461,2.626,2.461
20251231T151835,5.331, 23.0, 23.0,2.498,2.500,2.671,2.495
20251231T151836,5.622, 23.0, 22.0,2.478,2.461,2.631,2.461
20251231T151837,5.358, 23.0, 22.0,2.498,2.495,2.681,2.495
20251231T151838,5.481, 23.0, 21.0,2.478,2.461,2.635,2.461
20251231T151840,5.411, 23.0, 21.0,2.498,2.495,2.681,2.495
20251231T151841,5.622, 22.0, 21.0,2.478,2.461,2.635,2.461
20251231T151842,5.331, 22.0, 21.0,2.498,2.495,2.686,2.495
20251231T151843,5.481, 22.0, 20.0,2.478,2.461,2.640,2.461
20251231T151844,5.340, 22.0, 20.0,2.498,2.495,2.690,2.495
20251231T151845,5.481, 22.0, 21.0,2.478,2.461,2.645,2.461
20251231T151415,8.323, 20.0, 46.0,2.458,2.432,2.706,2.442
20251231T151417,7.751, 20.0, 47.0,2.458,2.422,2.701,2.432
20251231T151415,8.252, 20.0, 47.0,2.468,2.447,2.722,2.451
20251231T151416,7.856, 20.0, 47.0,2.498,2.495,2.808,2.495
20251231T151417,7.707, 20.0, 47.0,2.463,2.437,2.711,2.442
20251231T151419,7.672, 20.0, 47.0,2.498,2.495,2.803,2.495
20251231T151420,7.452, 20.0, 47.0,2.463,2.432,2.711,2.437
20251231T151421,7.795, 20.0, 47.0,2.498,2.495,2.803,2.495
20251231T151422,7.707, 20.0, 47.0,2.463,2.432,2.707,2.437
20251231T151423,7.663, 20.0, 47.0,2.498,2.495,2.803,2.495
20251231T151424,7.601, 20.0, 47.0,2.463,2.432,2.707,2.437
20251231T151425,7.540, 20.0, 47.0,2.498,2.500,2.803,2.495
20251231T151426,7.504, 20.0, 46.0,2.458,2.427,2.701,2.432
20251231T151427,7.786, 20.0, 46.0,2.498,2.495,2.803,2.495
20251231T151429,7.601, 20.0, 46.0,2.458,2.427,2.701,2.432
20251231T151430,7.672, 20.0, 46.0,2.498,2.500,2.803,2.495
20251231T151431,7.601, 20.0, 46.0,2.463,2.432,2.707,2.437
20251231T151432,7.689, 20.0, 46.0,2.498,2.495,2.803,2.495
20251231T151433,7.628, 20.0, 46.0,2.458,2.427,2.701,2.432
20251231T151434,7.768, 20.0, 46.0,2.498,2.495,2.803,2.495
20251231T151435,7.566, 20.0, 46.0,2.458,2.427,2.701,2.432
20251231T151436,7.584, 20.0, 46.0,2.498,2.500,2.798,2.495
20251231T151437,7.724, 20.0, 46.0,2.458,2.422,2.696,2.432
20251231T151439,7.716, 20.0, 46.0,2.498,2.495,2.798,2.495
20251231T151440,7.698, 20.0, 46.0,2.458,2.422,2.696,2.432
20251231T151441,7.548, 20.0, 46.0,2.498,2.495,2.798,2.495
20251231T151442,7.804, 20.0, 46.0,2.458,2.422,2.696,2.432
20251231T151443,7.619, 20.0, 46.0,2.498,2.495,2.798,2.495
20251231T151444,7.786, 20.0, 46.0,2.458,2.422,2.696,2.432
20251231T151445,7.786, 20.0, 46.0,2.498,2.495,2.798,2.495
20251231T151446,7.548, 20.0, 46.0,2.458,2.422,2.696,2.432
20251231T151447,7.795, 20.0, 46.0,2.498,2.495,2.798,2.495
20251231T151449,7.698, 20.0, 45.0,2.458,2.422,2.696,2.427
20251231T151450,7.672, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151451,7.760, 20.0, 45.0,2.458,2.422,2.696,2.432
20251231T151452,7.487, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151453,7.724, 20.0, 45.0,2.454,2.418,2.691,2.427
20251231T151454,7.891, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151455,7.760, 20.0, 45.0,2.454,2.418,2.691,2.427
20251231T151456,7.760, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151457,7.663, 20.0, 45.0,2.454,2.418,2.691,2.422
20251231T151459,7.540, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151500,7.584, 20.0, 45.0,2.454,2.418,2.691,2.422
20251231T151501,7.469, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151502,7.804, 20.0, 45.0,2.454,2.418,2.691,2.422
20251231T151503,7.540, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151504,7.724, 20.0, 45.0,2.454,2.418,2.691,2.422
20251231T151505,7.504, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151506,7.672, 20.0, 45.0,2.454,2.418,2.691,2.422
20251231T151507,7.636, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151509,7.663, 20.0, 45.0,2.454,2.418,2.691,2.422
20251231T151510,7.513, 20.0, 45.0,2.498,2.495,2.803,2.495
20251231T151511,7.566, 20.0, 45.0,2.454,2.418,2.686,2.422
20251231T151512,7.566, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151513,7.716, 20.0, 45.0,2.454,2.418,2.691,2.422
20251231T151514,7.707, 20.0, 45.0,2.498,2.495,2.803,2.495
20251231T151515,7.513, 20.0, 45.0,2.454,2.418,2.686,2.422
20251231T151516,7.619, 20.0, 45.0,2.498,2.495,2.803,2.495
20251231T151517,7.496, 20.0, 45.0,2.454,2.418,2.691,2.422
20251231T151518,7.645, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151520,7.804, 20.0, 45.0,2.454,2.413,2.686,2.422
20251231T151521,7.707, 20.0, 45.0,2.498,2.495,2.803,2.495
20251231T151522,7.724, 20.0, 44.0,2.454,2.413,2.686,2.422
20251231T151523,7.540, 20.0, 44.0,2.498,2.495,2.798,2.495
20251231T151524,7.460, 20.0, 44.0,2.454,2.413,2.686,2.422
20251231T151525,7.619, 20.0, 44.0,2.498,2.495,2.798,2.495
20251231T151526,7.751, 20.0, 44.0,2.454,2.418,2.686,2.422
20251231T151527,7.795, 20.0, 44.0,2.498,2.495,2.798,2.495
20251231T151528,7.619, 20.0, 44.0,2.454,2.418,2.686,2.422
20251231T151530,7.795, 20.0, 44.0,2.498,2.495,2.803,2.495
20251231T151531,7.716, 20.0, 44.0,2.454,2.418,2.686,2.422
20251231T151532,7.883, 20.0, 44.0,2.498,2.495,2.803,2.495
20251231T151533,7.513, 20.0, 44.0,2.454,2.413,2.686,2.422
20251231T151534,7.619, 20.0, 44.0,2.498,2.495,2.798,2.495
20251231T151535,7.707, 20.0, 44.0,2.454,2.418,2.686,2.422
20251231T151536,7.751, 20.0, 44.0,2.498,2.495,2.798,2.495
20251231T151537,7.452, 20.0, 44.0,2.454,2.418,2.686,2.422
20251231T151538,7.575, 20.0, 44.0,2.498,2.495,2.798,2.495
20251231T151540,7.540, 20.0, 44.0,2.454,2.418,2.686,2.422
20251231T151541,7.584, 20.0, 44.0,2.498,2.495,2.798,2.495
20251231T151542,7.804, 20.0, 45.0,2.454,2.418,2.686,2.422
20251231T151543,7.540, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151544,7.513, 20.0, 45.0,2.454,2.418,2.686,2.422
20251231T151545,7.584, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151546,7.540, 20.0, 45.0,2.454,2.418,2.686,2.422
20251231T151547,7.751, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151548,7.733, 20.0, 45.0,2.454,2.418,2.686,2.422
20251231T151550,7.628, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151551,7.540, 20.0, 45.0,2.454,2.418,2.686,2.422
20251231T151552,7.584, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151553,7.601, 20.0, 45.0,2.454,2.418,2.686,2.422
20251231T151554,7.751, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151555,7.742, 20.0, 45.0,2.454,2.418,2.686,2.422
20251231T151556,7.531, 20.0, 45.0,2.498,2.495,2.798,2.495
20251231T151557,7.812, 20.0, 45.0,2.454,2.418,2.686,2.422
20251231T151558,7.760, 20.0, 45.0,2.498,2.495,2.808,2.495
20251231T151600,7.724, 20.0, 45.0,2.454,2.418,2.701,2.422
20251231T151601,7.795, 20.0, 45.0,2.498,2.495,2.827,2.495
20251231T151602,7.636, 20.0, 44.0,2.454,2.418,2.725,2.427
20251231T151603,7.557, 20.0, 44.0,2.498,2.495,2.847,2.495
20251231T151604,7.601, 20.0, 40.0,2.458,2.427,2.754,2.432
20251231T151605,7.478, 20.0, 40.0,2.498,2.495,2.866,2.495
20251231T151606,7.680, 20.0, 36.0,2.449,2.408,2.738,2.418
20251231T151607,7.751, 20.0, 36.0,2.498,2.495,2.871,2.495
20251231T151608,7.760, 20.0, 33.0,2.449,2.408,2.753,2.418
20251231T151610,7.707, 20.0, 33.0,2.498,2.495,2.886,2.495
20251231T151611,7.733, 20.0, 31.0,2.449,2.408,2.767,2.418
20251231T151612,7.654, 20.0, 31.0,2.498,2.495,2.905,2.495
20251231T151613,7.443, 20.0, 29.0,2.449,2.408,2.781,2.413
20251231T151614,7.636, 20.0, 29.0,2.498,2.495,2.925,2.495
20251231T151615,7.496, 20.0, 28.0,2.449,2.408,2.801,2.418
20251231T151616,7.487, 20.0, 28.0,2.498,2.495,2.939,2.495
20251231T151617,7.636, 19.0, 28.0,2.449,2.408,2.815,2.418
20251231T151618,7.848, 19.0, 28.0,2.498,2.495,2.959,2.495
20251231T151619,7.566, 19.0, 28.0,2.449,2.408,2.829,2.413
20251231T151621,7.566, 19.0, 28.0,2.498,2.495,2.974,2.495
20251231T151622,7.619, 19.0, 27.0,2.449,2.408,2.844,2.418
20251231T151623,7.716, 19.0, 27.0,2.498,2.495,2.988,2.495
20251231T151624,7.522, 19.0, 27.0,2.449,2.408,2.858,2.413
20251231T151625,7.628, 19.0, 27.0,2.498,2.495,3.003,2.495
20251231T151626,7.460, 19.0, 27.0,2.449,2.408,2.872,2.413
20251231T151627,7.540, 19.0, 27.0,2.498,2.495,3.022,2.495
20251231T151628,7.751, 19.0, 27.0,2.449,2.408,2.887,2.418
20251231T151629,7.724, 19.0, 27.0,2.498,2.495,3.037,2.495
20251231T151631,7.513, 18.0, 27.0,2.449,2.408,2.901,2.413
20251231T151632,7.830, 18.0, 27.0,2.498,2.495,3.052,2.495
20251231T151633,7.654, 18.0, 27.0,2.449,2.408,2.915,2.418
20251231T151634,7.707, 18.0, 27.0,2.498,2.495,3.066,2.495
20251231T151635,7.724, 18.0, 28.0,2.449,2.408,2.930,2.418
