dt,bat_v,dht_h,dht_t,ref_v,therm_v,out_v,in_v
20251224T020642,6.713, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020643,6.387, 19.0, 33.0,2.473,4.228,2.473,2.483
20251224T020645,6.563, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020646,6.484, 19.0, 33.0,2.473,4.228,2.478,2.478
20251224T020648,6.633, 19.0, 33.0,2.473,4.228,2.478,2.483
20251224T020650,6.537, 19.0, 33.0,2.473,4.228,2.478,2.483
20251224T020651,6.677, 19.0, 33.0,2.473,4.228,2.478,2.483
20251224T020653,6.396, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020654,6.589, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020656,6.510, 19.0, 33.0,2.473,4.228,2.478,2.478
20251224T020658,6.581, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020659,6.519, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020701,6.616, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020702,6.431, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020704,6.396, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020706,6.581, 19.0, 34.0,2.473,4.228,2.473,2.478
20251224T020707,6.589, 19.0, 34.0,2.473,4.228,2.478,2.478
20251224T020709,6.484, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020710,6.642, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020712,6.660, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020714,6.677, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020715,6.607, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020717,6.510, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020718,6.519, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020720,6.598, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020722,6.545, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020723,6.589, 19.0, 34.0,2.473,4.233,2.478,2.483
20251224T020725,6.572, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020726,6.528, 19.0, 34.0,2.473,4.233,2.473,2.483
20251224T020728,6.457, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020730,6.475, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020731,6.519, 19.0, 34.0,2.473,4.228,2.473,2.478
20251224T020733,6.563, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020734,6.528, 19.0, 34.0,2.473,4.233,2.478,2.478
20251224T020736,6.440, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020738,6.589, 18.0, 34.0,2.473,4.228,2.478,2.478
20251224T020739,6.501, 19.0, 34.0,2.473,4.233,2.478,2.483
20251224T020741,6.493, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020742,6.396, 18.0, 34.0,2.473,4.228,2.473,2.478
20251224T020744,6.563, 18.0, 34.0,2.473,4.233,2.473,2.478
20251224T020746,6.554, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020747,6.625, 18.0, 34.0,2.473,4.233,2.473,2.483
20251224T020749,6.387, 18.0, 34.0,2.473,4.233,2.478,2.478
20251224T020750,6.440, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020752,6.677, 18.0, 34.0,2.473,4.233,2.473,2.483
20251224T020754,6.537, 18.0, 34.0,2.473,4.233,2.473,2.483
20251224T020755,6.625, 18.0, 34.0,2.473,4.228,2.478,2.478
20251224T020757,6.581, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020758,6.651, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020800,6.651, 18.0, 34.0,2.473,4.228,2.478,2.483
20251224T020802,6.572, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020803,6.660, 18.0, 34.0,2.473,4.228,2.478,2.483
20251224T020805,6.554, 18.0, 34.0,2.473,4.228,2.478,2.483
20251224T020806,6.475, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020808,6.440, 19.0, 34.0,2.473,4.228,2.478,2.478
20251224T020810,6.695, 19.0, 34.0,2.473,4.228,2.478,2.483
20251224T020811,6.537, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020813,6.554, 19.0, 34.0,2.473,4.228,2.473,2.483
20251224T020814,6.572, 18.0, 34.0,2.473,4.228,2.473,2.478
20251224T020816,6.457, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020818,6.466, 18.0, 34.0,2.473,4.228,2.478,2.478
20251224T020819,6.484, 18.0, 34.0,2.473,4.228,2.478,2.483
20251224T020821,6.598, 18.0, 34.0,2.473,4.228,2.478,2.483
20251224T020822,6.598, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020824,6.607, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020826,6.510, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020827,6.413, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020829,6.607, 18.0, 34.0,2.473,4.228,2.478,2.478
20251224T020830,6.510, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020832,6.440, 18.0, 34.0,2.473,4.228,2.473,2.478
20251224T020834,6.589, 18.0, 34.0,2.473,4.228,2.473,2.483
20251224T020835,6.625, 18.0, 34.0,2.473,4.228,2.478,2.483
20251224T020837,6.484, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020838,6.581, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020840,6.669, 18.0, 34.0,2.473,4.228,2.478,2.483
20251224T020842,6.475, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020843,6.484, 18.0, 35.0,2.473,4.223,2.478,2.483
20251224T020845,6.589, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020846,6.669, 18.0, 34.0,2.473,4.223,2.478,2.478
20251224T020848,6.413, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020850,6.537, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020851,6.572, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020853,6.537, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020854,6.537, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020856,6.695, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020858,6.616, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020859,6.501, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020901,6.501, 18.0, 35.0,2.473,4.223,2.473,2.483
20251224T020903,6.431, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020904,6.475, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020906,6.519, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020907,6.431, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020909,6.378, 18.0, 35.0,2.473,4.223,2.478,2.478
20251224T020911,6.422, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020912,6.545, 18.0, 34.0,2.473,4.223,2.473,2.478
20251224T020914,6.484, 18.0, 34.0,2.473,4.223,2.478,2.478
20251224T020915,6.598, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020917,6.581, 18.0, 34.0,2.473,4.223,2.478,2.478
20251224T020919,6.589, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020920,6.501, 18.0, 34.0,2.473,4.223,2.478,2.478
20251224T020922,6.563, 18.0, 34.0,2.473,4.223,2.478,2.478
20251224T020923,6.581, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020925,6.501, 18.0, 34.0,2.473,4.223,2.478,2.478
20251224T020927,6.501, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020928,6.581, 18.0, 34.0,2.473,4.223,2.478,2.478
20251224T020930,6.695, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020931,6.616, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020933,6.387, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020935,6.589, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020936,6.563, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020938,6.528, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020939,6.501, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020941,6.501, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020943,6.545, 18.0, 34.0,2.473,4.223,2.473,2.483
20251224T020944,6.607, 18.0, 34.0,2.473,4.223,2.478,2.483
20251224T020946,6.581, 18.0, 34.0,2.473,4.223,2.478,2.478
20251224T020947,6.607, 18.0, 34.0,2.473,4.223,2.478,2.478
20251224T020949,6.607, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T020951,6.501, 18.0, 34.0,2.473,4.218,2.473,2.478
20251224T020952,6.528, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T020954,6.431, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T020955,6.563, 18.0, 34.0,2.473,4.218,2.478,2.483
20251224T020957,6.625, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T020959,6.493, 18.0, 34.0,2.473,4.218,2.478,2.478
20251224T021000,6.616, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021002,6.413, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021003,6.633, 18.0, 34.0,2.473,4.218,2.478,2.483
20251224T021005,6.510, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021007,6.607, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021008,6.563, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021010,6.563, 18.0, 34.0,2.473,4.218,2.473,2.478
20251224T021011,6.607, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021013,6.554, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021015,6.528, 18.0, 34.0,2.473,4.218,2.473,2.478
20251224T021016,6.396, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021018,6.396, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021019,6.677, 18.0, 34.0,2.473,4.218,2.478,2.483
20251224T021021,6.413, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021023,6.405, 18.0, 34.0,2.473,4.218,2.478,2.483
20251224T021024,6.431, 18.0, 34.0,2.473,4.218,2.478,2.478
20251224T021026,6.501, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021027,6.466, 18.0, 34.0,2.473,4.218,2.473,2.483
20251224T021029,6.625, 18.0, 34.0,2.473,4.218,2.478,2.478
20251224T021031,6.607, 18.0, 34.0,2.473,4.218,2.478,2.483
20251224T021032,6.501, 18.0, 34.0,2.473,4.218,2.478,2.483
20251224T021034,6.449, 18.0, 35.0,2.473,4.218,2.473,2.483
20251224T021035,6.572, 18.0, 35.0,2.473,4.218,2.473,2.483
20251224T021037,6.396, 18.0, 35.0,2.473,4.218,2.478,2.483
20251224T021039,6.519, 18.0, 35.0,2.473,4.213,2.473,2.483
20251224T021040,6.581, 18.0, 35.0,2.473,4.218,2.473,2.483
20251224T021042,6.589, 18.0, 35.0,2.473,4.213,2.478,2.483
20251224T021043,6.616, 18.0, 35.0,2.473,4.213,2.473,2.483
20251224T021045,6.528, 18.0, 35.0,2.473,4.213,2.473,2.483
20251224T021047,6.501, 18.0, 34.0,2.473,4.213,2.478,2.483
20251224T021048,6.633, 18.0, 34.0,2.473,4.213,2.473,2.483
20251224T021050,6.457, 18.0, 34.0,2.473,4.213,2.478,2.478
20251224T021051,6.405, 18.0, 34.0,2.473,4.213,2.473,2.483
20251224T021053,6.616, 18.0, 34.0,2.473,4.213,2.478,2.483
20251224T021055,6.713, 18.0, 34.0,2.473,4.213,2.478,2.483
20251224T021056,6.493, 18.0, 34.0,2.473,4.213,2.473,2.483
20251224T021058,6.563, 18.0, 34.0,2.473,4.213,2.478,2.483
20251224T021059,6.677, 18.0, 34.0,2.473,4.213,2.473,2.483
20251224T021101,6.616, 18.0, 34.0,2.473,4.213,2.478,2.478
20251224T021103,6.625, 18.0, 34.0,2.473,4.213,2.473,2.483
20251224T021104,6.598, 18.0, 34.0,2.473,4.213,2.473,2.483
20251224T021106,6.510, 18.0, 34.0,2.473,4.213,2.478,2.483
20251224T021107,6.581, 18.0, 34.0,2.473,4.213,2.478,2.483
20251224T021109,6.422, 18.0, 34.0,2.473,4.213,2.478,2.483
20251224T021111,6.581, 18.0, 34.0,2.473,4.213,2.473,2.483
20251224T021112,6.581, 18.0, 34.0,2.473,4.213,2.478,2.483
20251224T021114,6.422, 18.0, 34.0,2.473,4.213,2.473,2.483
20251224T021115,6.370, 18.0, 34.0,2.473,4.213,2.473,2.483
20251224T021117,6.449, 18.0, 34.0,2.473,4.213,2.478,2.478
20251224T021119,6.607, 18.0, 34.0,2.473,4.213,2.473,2.483
20251224T021120,6.713, 18.0, 34.0,2.473,4.213,2.478,2.478
20251224T021122,6.493, 18.0, 33.0,2.473,4.213,2.478,2.483
20251224T021123,6.572, 18.0, 34.0,2.473,4.213,2.478,2.478
20251224T021125,6.457, 18.0, 33.0,2.473,4.213,2.478,2.483
20251224T021127,6.405, 18.0, 33.0,2.473,4.213,2.473,2.483
20251224T021128,6.493, 18.0, 33.0,2.473,4.213,2.473,2.483
20251224T021130,6.466, 18.0, 33.0,2.473,4.213,2.478,2.478
20251224T021131,6.457, 19.0, 33.0,2.473,4.213,2.478,2.478
20251224T021133,6.484, 19.0, 33.0,2.473,4.213,2.473,2.483
20251224T021135,6.510, 19.0, 33.0,2.473,4.213,2.473,2.483
20251224T021136,6.545, 19.0, 33.0,2.473,4.213,2.473,2.483
20251224T021138,6.449, 19.0, 33.0,2.473,4.213,2.478,2.478
20251224T021140,6.537, 19.0, 33.0,2.473,4.213,2.478,2.478
20251224T021141,6.457, 19.0, 33.0,2.473,4.213,2.473,2.478
20251224T021143,6.607, 19.0, 33.0,2.473,4.213,2.478,2.483
20251224T021144,6.475, 19.0, 33.0,2.473,4.213,2.473,2.483
20251224T021146,6.563, 19.0, 33.0,2.473,4.213,2.478,2.483
20251224T021148,6.528, 19.0, 33.0,2.473,4.208,2.478,2.483
20251224T021149,6.396, 19.0, 33.0,2.473,4.208,2.478,2.478
20251224T021151,6.589, 19.0, 33.0,2.473,4.213,2.478,2.483
20251224T021152,6.475, 19.0, 32.0,2.473,4.213,2.473,2.483
20251224T021154,6.519, 19.0, 33.0,2.473,4.213,2.478,2.483
20251224T021156,6.572, 19.0, 32.0,2.473,4.213,2.478,2.483
20251224T021157,6.563, 19.0, 32.0,2.473,4.213,2.478,2.483
20251224T021159,6.466, 19.0, 32.0,2.473,4.208,2.478,2.478
20251224T021200,6.677, 19.0, 32.0,2.473,4.213,2.478,2.483
20251224T021202,6.563, 19.0, 32.0,2.473,4.208,2.473,2.483
20251224T021204,6.651, 19.0, 32.0,2.473,4.213,2.473,2.483
20251224T021205,6.422, 19.0, 32.0,2.473,4.213,2.473,2.478
20251224T021207,6.537, 19.0, 32.0,2.473,4.213,2.478,2.478
20251224T021208,6.475, 19.0, 32.0,2.473,4.213,2.478,2.478
20251224T021210,6.501, 19.0, 32.0,2.473,4.213,2.478,2.483
20251224T021212,6.493, 19.0, 32.0,2.473,4.213,2.473,2.483
20251224T021213,6.422, 19.0, 32.0,2.473,4.208,2.478,2.478
20251224T021215,6.501, 19.0, 32.0,2.473,4.213,2.478,2.483
20251224T021216,6.686, 19.0, 32.0,2.473,4.213,2.478,2.483
20251224T021218,6.598, 19.0, 32.0,2.473,4.213,2.478,2.483
20251224T021220,6.519, 19.0, 32.0,2.473,4.213,2.473,2.483
20251224T021221,6.545, 19.0, 32.0,2.473,4.208,2.473,2.483
20251224T021223,6.537, 19.0, 32.0,2.473,4.213,2.478,2.483
20251224T021224,6.642, 19.0, 31.0,2.473,4.213,2.478,2.483
20251224T021226,6.589, 19.0, 31.0,2.473,4.213,2.478,2.483
20251224T021228,6.563, 19.0, 31.0,2.473,4.213,2.478,2.483
20251224T021229,6.572, 19.0, 31.0,2.473,4.208,2.478,2.483
20251224T021231,6.545, 19.0, 31.0,2.473,4.213,2.478,2.483
20251224T021232,6.510, 19.0, 31.0,2.473,4.213,2.478,2.483
20251224T021234,6.528, 19.0, 31.0,2.473,4.213,2.478,2.483
20251224T021236,6.545, 19.0, 31.0,2.473,4.213,2.473,2.483
20251224T021237,6.607, 19.0, 31.0,2.473,4.208,2.478,2.483
20251224T021239,6.457, 19.0, 31.0,2.473,4.208,2.473,2.483
20251224T021240,6.572, 19.0, 31.0,2.473,4.213,2.478,2.483
20251224T021242,6.545, 19.0, 31.0,2.473,4.208,2.473,2.483
20251224T021244,6.704, 19.0, 31.0,2.473,4.208,2.473,2.483
20251224T021245,6.572, 19.0, 31.0,2.473,4.208,2.478,2.483
20251224T021247,6.510, 19.0, 31.0,2.468,4.208,2.478,2.483
20251224T021248,6.554, 19.0, 31.0,2.473,4.208,2.478,2.483
20251224T021250,6.484, 19.0, 31.0,2.473,4.208,2.473,2.483
20251224T021252,6.598, 19.0, 30.0,2.473,4.208,2.478,2.483
20251224T021253,6.431, 20.0, 30.0,2.473,4.208,2.473,2.483
20251224T021255,6.677, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021256,6.695, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021258,6.449, 20.0, 30.0,2.473,4.208,2.478,2.478
20251224T021300,6.413, 20.0, 30.0,2.473,4.208,2.478,2.478
20251224T021301,6.677, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021303,6.528, 20.0, 30.0,2.473,4.208,2.473,2.483
20251224T021304,6.405, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021306,6.598, 20.0, 30.0,2.473,4.208,2.473,2.483
20251224T021308,6.528, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021309,6.598, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021311,6.572, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021312,6.545, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021314,6.616, 20.0, 30.0,2.473,4.208,2.473,2.483
20251224T021316,6.607, 20.0, 30.0,2.473,4.208,2.473,2.483
20251224T021317,6.519, 20.0, 30.0,2.473,4.208,2.473,2.483
20251224T021319,6.545, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021320,6.413, 20.0, 30.0,2.473,4.208,2.478,2.478
20251224T021322,6.572, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021324,6.607, 20.0, 30.0,2.473,4.208,2.473,2.483
20251224T021325,6.405, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021327,6.554, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021328,6.563, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021330,6.642, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021332,6.493, 20.0, 30.0,2.473,4.208,2.473,2.483
20251224T021333,6.581, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021335,6.589, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021336,6.449, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021338,6.528, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021340,6.581, 20.0, 30.0,2.473,4.203,2.478,2.478
20251224T021341,6.581, 20.0, 30.0,2.473,4.208,2.478,2.478
20251224T021343,6.625, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021344,6.598, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021346,6.545, 20.0, 30.0,2.473,4.208,2.478,2.483
20251224T021348,6.581, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021349,6.686, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021351,6.633, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021352,6.493, 20.0, 30.0,2.473,4.203,2.478,2.478
20251224T021354,6.660, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021356,6.510, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021357,6.528, 20.0, 30.0,2.473,4.203,2.478,2.478
20251224T021359,6.493, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021400,6.598, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021402,6.581, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021404,6.554, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021405,6.677, 20.0, 29.0,2.473,4.203,2.473,2.483
20251224T021407,6.642, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021408,6.528, 20.0, 29.0,2.473,4.203,2.478,2.478
20251224T021410,6.607, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021412,6.422, 20.0, 29.0,2.473,4.203,2.473,2.483
20251224T021413,6.510, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021415,6.660, 20.0, 29.0,2.473,4.203,2.478,2.478
20251224T021417,6.563, 20.0, 29.0,2.473,4.203,2.473,2.483
20251224T021418,6.484, 20.0, 29.0,2.473,4.203,2.478,2.478
20251224T021420,6.422, 20.0, 29.0,2.473,4.203,2.473,2.483
20251224T021421,6.510, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021423,6.554, 20.0, 29.0,2.473,4.203,2.478,2.478
20251224T021425,6.378, 20.0, 29.0,2.473,4.203,2.478,2.478
20251224T021426,6.519, 20.0, 29.0,2.473,4.203,2.473,2.483
20251224T021428,6.510, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021429,6.572, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021431,6.589, 20.0, 29.0,2.473,4.198,2.478,2.483
20251224T021433,6.405, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021434,6.528, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021436,6.466, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021437,6.642, 20.0, 29.0,2.473,4.203,2.473,2.483
20251224T021439,6.449, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021441,6.572, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021442,6.563, 20.0, 29.0,2.473,4.203,2.478,2.483
20251224T021444,6.537, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021445,6.554, 20.0, 30.0,2.473,4.203,2.478,2.478
20251224T021447,6.545, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021449,6.598, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021450,6.457, 20.0, 30.0,2.473,4.203,2.478,2.478
20251224T021452,6.413, 20.0, 30.0,2.473,4.203,2.478,2.478
20251224T021453,6.660, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021455,6.475, 20.0, 30.0,2.473,4.203,2.478,2.478
20251224T021457,6.405, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021458,6.554, 20.0, 30.0,2.473,4.203,2.478,2.483
20251224T021500,6.581, 20.0, 30.0,2.473,4.203,2.478,2.478
20251224T021501,6.387, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021503,6.449, 20.0, 30.0,2.473,4.198,2.473,2.483
20251224T021505,6.475, 20.0, 30.0,2.473,4.203,2.478,2.478
20251224T021506,6.545, 20.0, 30.0,2.473,4.198,2.473,2.483
20251224T021508,6.572, 20.0, 30.0,2.473,4.198,2.473,2.483
20251224T021509,6.457, 20.0, 30.0,2.473,4.203,2.473,2.483
20251224T021511,6.431, 19.0, 30.0,2.473,4.203,2.478,2.483
20251224T021513,6.537, 19.0, 31.0,2.473,4.198,2.478,2.483
20251224T021514,6.405, 19.0, 31.0,2.473,4.203,2.478,2.483
20251224T021516,6.422, 19.0, 30.0,2.473,4.198,2.478,2.478
20251224T021517,6.493, 19.0, 31.0,2.473,4.198,2.473,2.483
20251224T021519,6.616, 19.0, 31.0,2.473,4.198,2.478,2.483
20251224T021521,6.396, 19.0, 31.0,2.473,4.198,2.473,2.483
20251224T021522,6.396, 19.0, 31.0,2.473,4.198,2.473,2.483
20251224T021524,6.413, 19.0, 31.0,2.473,4.198,2.473,2.478
20251224T021525,6.616, 19.0, 31.0,2.473,4.198,2.478,2.483
20251224T021527,6.370, 19.0, 31.0,2.473,4.198,2.478,2.478
20251224T021529,6.493, 19.0, 31.0,2.473,4.198,2.478,2.483
20251224T021530,6.554, 19.0, 31.0,2.473,4.198,2.478,2.483
20251224T021532,6.537, 19.0, 31.0,2.473,4.198,2.478,2.483
20251224T021533,6.537, 19.0, 31.0,2.473,4.198,2.478,2.483
20251224T021535,6.475, 19.0, 31.0,2.473,4.198,2.473,2.483
20251224T021537,6.545, 19.0, 31.0,2.473,4.198,2.478,2.483
20251224T021538,6.537, 19.0, 31.0,2.473,4.198,2.473,2.483
20251224T021540,6.563, 19.0, 31.0,2.473,4.198,2.478,2.483
20251224T021541,6.440, 19.0, 31.0,2.473,4.198,2.478,2.483
20251224T021543,6.607, 19.0, 31.0,2.473,4.198,2.473,2.483
20251224T021545,6.475, 19.0, 31.0,2.473,4.198,2.473,2.478
20251224T021546,6.669, 19.0, 31.0,2.473,4.198,2.473,2.483
20251224T021548,6.633, 19.0, 31.0,2.473,4.198,2.473,2.483
20251224T021549,6.405, 19.0, 31.0,2.473,4.198,2.473,2.483
20251224T021551,6.528, 19.0, 31.0,2.473,4.198,2.473,2.483
20251224T021553,6.457, 19.0, 31.0,2.473,4.198,2.478,2.478
20251224T021554,6.501, 19.0, 32.0,2.473,4.198,2.478,2.478
20251224T021556,6.589, 19.0, 31.0,2.473,4.198,2.473,2.478
20251224T021557,6.528, 19.0, 32.0,2.473,4.198,2.478,2.478
20251224T021559,6.457, 19.0, 32.0,2.473,4.198,2.473,2.483
20251224T021601,6.431, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021602,6.581, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021604,6.528, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021605,6.537, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021607,6.484, 19.0, 32.0,2.473,4.198,2.473,2.483
20251224T021609,6.510, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021610,6.625, 19.0, 32.0,2.473,4.198,2.473,2.483
20251224T021612,6.572, 19.0, 32.0,2.473,4.198,2.473,2.478
20251224T021613,6.695, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021615,6.501, 19.0, 32.0,2.473,4.198,2.473,2.483
20251224T021617,6.378, 19.0, 32.0,2.473,4.198,2.473,2.478
20251224T021618,6.528, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021620,6.651, 19.0, 32.0,2.473,4.198,2.478,2.478
20251224T021621,6.651, 19.0, 32.0,2.473,4.198,2.478,2.478
20251224T021623,6.598, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021625,6.405, 19.0, 32.0,2.473,4.198,2.473,2.483
20251224T021626,6.616, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021628,6.528, 19.0, 32.0,2.473,4.198,2.478,2.478
20251224T021629,6.669, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021631,6.493, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021633,6.484, 19.0, 32.0,2.473,4.198,2.473,2.483
20251224T021634,6.545, 19.0, 32.0,2.473,4.198,2.473,2.483
20251224T021636,6.387, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021637,6.449, 19.0, 32.0,2.473,4.198,2.473,2.483
20251224T021639,6.669, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021641,6.545, 19.0, 32.0,2.473,4.198,2.478,2.483
20251224T021642,6.616, 19.0, 32.0,2.473,4.198,2.473,2.483
20251224T021644,6.581, 19.0, 32.0,2.473,4.198,2.478,2.478
