dt,bat_v,dht_h,dht_t,ref_v,therm_v,out_v,in_v
20251223T221024,7.856, 20.0, 36.0,2.493,2.757,2.498,2.493
20251223T221026,7.786, 20.0, 36.0,2.493,2.757,2.493,2.493
20251223T221027,7.874, 20.0, 36.0,2.493,2.757,2.493,2.493
20251223T221029,7.557, 20.0, 35.0,2.493,2.757,2.493,2.498
20251223T221030,7.742, 20.0, 35.0,2.493,2.757,2.493,2.493
20251223T221032,7.672, 20.0, 35.0,2.493,2.757,2.493,2.493
20251223T221034,7.716, 20.0, 35.0,2.493,2.757,2.493,2.493
20251223T221035,7.839, 20.0, 35.0,2.493,2.757,2.498,2.493
20251223T221037,7.575, 20.0, 35.0,2.493,2.757,2.498,2.493
20251223T221038,7.610, 20.0, 35.0,2.493,2.757,2.498,2.493
20251223T221040,7.812, 20.0, 35.0,2.493,2.757,2.493,2.493
20251223T221042,7.619, 20.0, 35.0,2.493,2.757,2.493,2.493
20251223T221043,7.610, 20.0, 35.0,2.488,2.752,2.493,2.493
20251223T221045,7.513, 20.0, 35.0,2.493,2.757,2.493,2.493
20251223T221046,7.716, 20.0, 35.0,2.493,2.757,2.498,2.493
20251223T221048,7.812, 20.0, 35.0,2.493,2.757,2.498,2.493
20251223T221050,7.645, 20.0, 35.0,2.493,2.757,2.498,2.493
20251223T221051,7.478, 20.0, 35.0,2.493,2.757,2.498,2.493
20251223T221053,7.768, 20.0, 35.0,2.493,2.757,2.493,2.493
20251223T221054,7.540, 20.0, 35.0,2.493,2.757,2.493,2.493
20251223T221056,7.786, 20.0, 35.0,2.493,2.752,2.493,2.493
20251223T221058,7.742, 20.0, 35.0,2.493,2.752,2.493,2.493
20251223T221059,7.751, 20.0, 35.0,2.493,2.752,2.493,2.493
20251223T221101,7.496, 20.0, 35.0,2.493,2.752,2.493,2.493
20251223T221102,7.716, 20.0, 34.0,2.493,2.752,2.493,2.493
20251223T221104,7.628, 20.0, 35.0,2.493,2.752,2.493,2.493
20251223T221106,7.672, 20.0, 34.0,2.493,2.752,2.493,2.493
20251223T221107,7.821, 20.0, 35.0,2.468,2.732,2.473,2.478
20251223T221109,7.601, 20.0, 34.0,2.468,2.727,2.473,2.478
20251223T221110,7.751, 20.0, 35.0,2.468,2.727,2.473,2.478
20251223T221112,7.478, 20.0, 34.0,2.468,2.727,2.473,2.478
